file                                                  format  type  num_seqs      sum_len  min_len   avg_len  max_len     Q1      Q2      Q3  sum_gap      N50  N50_num  Q20(%)  Q30(%)  AvgQual  GC(%)  sum_n
assemblies/flye_sample0/assembly.fasta                FASTA   DNA         61    4,416,721    1,444  72,405.3  608,120  5,809  28,128  89,141        0  190,611        7       0       0        0   48.5      0
assemblies/myloasm_sample0_retry/assembly_primary.fa  FASTA   DNA     13,186  110,884,960    2,182   8,409.3   31,582  6,256   7,957  10,043        0    9,034    3,249       0       0        0  45.99      0
